"Teams_Owner","Teams_Displayname","Teams_Groupid"
"kartheek@M365x726831.onmicrosoft.com","Testing Team","7c8c0ae0-3a34-4a84-8830-bd9c1d64853a"
"kartheek@M365x726831.onmicrosoft.com","sharepointtest","8c8c09a1-c4b1-428b-82f4-221b241ed453"
"kartheek@M365x726831.onmicrosoft.com","sharepointstorge","480b62f7-9746-4449-ba92-29f3bd5ebb81"
"kartheek@M365x726831.onmicrosoft.com","mste","53b645b0-8e81-4136-bc40-35e26b0ce0cf"
"kartheek@M365x726831.onmicrosoft.com","dfdfd","cf4f2c8b-8240-43d0-ae9c-14ad12abf3f5"
"MeganB@M365x726831.OnMicrosoft.com","Sales and Marketing","f4cc2da0-53a3-4805-9b3f-20f7ba0ece85"
"MeganB@M365x726831.OnMicrosoft.com","Retail","959723c2-0b32-4531-bda9-dc728c5d8682"
"MeganB@M365x726831.OnMicrosoft.com","Mark 8 Project Team","f831553d-a3d0-4456-9c25-8b9aca8109ab"
"MeganB@M365x726831.OnMicrosoft.com","Digital Initiative Public Relations","6a3bd898-8454-4729-bb49-326b659bf668"
"admin@M365x726831.onmicrosoft.com","Sales and Marketing","f4cc2da0-53a3-4805-9b3f-20f7ba0ece85"
"admin@M365x726831.onmicrosoft.com","Retail","959723c2-0b32-4531-bda9-dc728c5d8682"
"admin@M365x726831.onmicrosoft.com","Mark 8 Project Team","f831553d-a3d0-4456-9c25-8b9aca8109ab"
"admin@M365x726831.onmicrosoft.com","Digital Initiative Public Relations","6a3bd898-8454-4729-bb49-326b659bf668"
"admin@M365x726831.onmicrosoft.com","video-test","73482e6d-0dd0-42e7-8313-f2f0b69eb60e"
"admin@M365x726831.onmicrosoft.com","My Team","8c127ebf-49be-4d3f-9f40-08cada17faba"
"admin@M365x726831.onmicrosoft.com","Sample Team","eb2e9564-d294-4346-b515-fd4bd728c061"
"admin@M365x726831.onmicrosoft.com","Test456","74e22951-d9f8-4e50-86b7-d226f710bc93"
"admin@M365x726831.onmicrosoft.com","Test789","5e580c4e-a0cf-4e53-88d6-724c8869bb77"
"admin@M365x726831.onmicrosoft.com","kartheek-test","08a6de77-938d-42f9-b67f-ae68ba62e48e"
"admin@M365x726831.onmicrosoft.com","kartheek-testing","ce3986e2-566e-4e09-bde6-a9c91864bda5"
"admin@M365x726831.onmicrosoft.com","Updated","9a63cbc0-a6ab-4e5d-b091-585b3e04bf6b"
"admin@M365x726831.onmicrosoft.com","Library Assist","21d5b82a-8fbb-4ae1-8d67-f4c3660e8125"
"admin@M365x726831.onmicrosoft.com","Library Assist","3875a838-af5a-4395-b8fa-229d1d0185d7"
"admin@M365x726831.onmicrosoft.com","genral moters","1c9f40e5-70b8-4be0-8fd3-bbf96cb608b0"
